Group,ItemNumber,Block,Brightness,Brightness2,Ans,Scale,Relatedness,Timbre,SoundFile,SoundPath
1,1,B,same,the SAME,z,aeolian,related,guitar,same_aeolian_related_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_guitar_01.mp3?raw=true
1,1,B,same,the SAME,z,aeolian,unrelated,guitar,same_aeolian_unrelated_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_guitar_01.mp3?raw=true
1,1,B,same,the SAME,z,minor,related,guitar,same_minor_related_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_guitar_01.mp3?raw=true
1,1,B,same,the SAME,z,minor,unrelated,guitar,same_minor_unrelated_guitar_01.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_guitar_01.mp3?raw=true
1,2,B,bright,BRIGHT,m,aeolian,related,guitar,bright_aeolian_related_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_guitar_02.mp3?raw=true
1,2,B,bright,BRIGHT,m,aeolian,unrelated,guitar,bright_aeolian_unrelated_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_guitar_02.mp3?raw=true
1,2,B,bright,BRIGHT,m,minor,related,guitar,bright_minor_related_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_guitar_02.mp3?raw=true
1,2,B,bright,BRIGHT,m,minor,unrelated,guitar,bright_minor_unrelated_guitar_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_guitar_02.mp3?raw=true
1,3,B,same,the SAME,z,aeolian,related,guitar,same_aeolian_related_guitar_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_guitar_03.mp3?raw=true
1,3,B,same,the SAME,z,aeolian,unrelated,guitar,same_aeolian_unrelated_guitar_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_guitar_03.mp3?raw=true
1,3,B,same,the SAME,z,minor,related,guitar,same_minor_related_guitar_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_guitar_03.mp3?raw=true
